#{"t_start": 1672838831.0494676, "env_id": null}
r,l,t
2191.0,2742,26488.481972
2504.0,2804,26490.253392
2393.0,662,26495.645669
2186.0,2742,26501.185982
1950.0,577,26507.277425
2949.0,5117,26776.699255
3870.0,2892,26781.007276
2169.0,595,26783.125778
3839.0,990,27051.060167
3309.0,2926,27058.516034
1737.0,560,27064.53346
2945.0,5123,27070.474867
1910.0,613,27071.173033
2138.0,5112,27616.261194
2620.0,3158,27623.230845
1650.0,5341,27905.339704
2109.0,7526,27911.005631
1886.0,5357,28193.074691
1650.0,5331,28459.364541
1884.0,5358,28741.845465
1654.0,5353,28746.506569
1885.0,5348,29028.717435
1177.0,482,29033.861654
1889.0,5344,29317.563867
2051.0,7527,29318.021976
1530.0,5310,29321.892893
1726.0,3053,29584.787177
2521.0,3056,29868.15031
1511.0,5547,30154.515236
1634.0,7528,30439.396729
1999.0,7526,30443.288651
1811.0,5341,30444.309893
1889.0,5346,30993.060218
1525.0,5318,31280.060839
1785.0,5445,31285.401104
1396.0,5386,31285.76219
105.0,5500,31575.620496
135.0,3668,31847.224845
130.0,5358,32126.190459
99.0,7526,32144.435781
111.0,5232,32415.136915
99.0,7526,32712.52337
126.0,5610,32989.550533
86.0,7526,32992.307187
105.0,7526,33543.39678
152.0,2916,33547.224686
118.0,5252,33554.622438
115.0,5846,33838.118639
137.0,5206,34396.993364
133.0,7526,34410.921664
101.0,7526,34414.801583
